,num_of_objects_around_star,right_ascension,declination,g_band_mag,r_band_mag,i_band_mag,z_band_mag,j_band_mag,h_band_mag,k_band_mag,kepler_band_mag,num_of_transits,max_single_event_stat,max_multi_event_stat,odd_even_depth_stat,limb_dark_co4,limb_dark_co3,limb_dark_co2,limb_dark_co1,transit_signal_to_noise,planet_radius_earth,orbit_semimajor_axis,impact,transit_duration,transit_depth,orbital_period,planet_star_radius_ratio,planet_star_distance_radius,inclination,planet_temp,star_temp,star_surface_gravity,star_metallicity,star_radius,star_mass,flux_weight_offset_sig,centroid_right_ascension,centroid_declination,centroid_right_ascension_offset,centroid_declination_offset,planet_star_right_ascension_offset,planet_star_declination_offset,angular_offset_right_ascension,angular_offset_declination,angular_offset_sky,insolation_flux,star_density,classification
1410,1,292.5878,38.52203,14.543,14.032,13.892,13.831,12.963,12.656,12.627,14.087,18.0,9.026488,23.548868,0.344,0.0,0.0,0.2638,0.4046,35.6,3.55,0.3659,0.044,8.689,658.7,78.5461106,0.023284,70.6,89.96,501.0,5808.0,4.172,0.14,1.397,1.058,0.0,19.5058495,38.52214,-0.14,0.41,0.00035,0.00044,-0.4,-3.05,3.08,14.85,1.07922,0
1411,1,294.64816,46.392361,16.347,15.778,15.591,15.53,14.638,14.319,14.161,15.818,70.0,5.9767494,32.034893,0.6147,0.0,0.0,0.2555,0.4191,40.8,3.4,0.1309,0.515,4.1864,1125.3,16.92342126,0.031414,27.61,88.93,702.0,5786.0,4.465,0.16,0.99,1.044,0.001,19.643207,46.392532,-0.16,0.62,-0.00014,0.00064,0.1,-0.12,0.15,57.37,1.39016,0
1412,3,285.75146,41.33564,16.513,15.494,15.135,14.971,13.875,13.255,13.16,15.549,188.0,5.4740853,25.446098,0.216,0.0,0.0,0.1082,0.627,32.1,2.01,0.0542,0.788,2.5482,648.0,5.47665801,0.026032,10.82,85.82,741.0,4650.0,4.589,-0.04,0.706,0.704,0.771,19.050099,41.33565,0.08,0.05,4e-05,0.0001,0.28,-0.19,0.34,71.0,0.7995,0
1413,3,294.32553,46.002251,14.404,13.623,13.388,13.26,12.229,11.783,11.673,13.693,268.0,6.5903087,35.994656,0.686,0.0,0.0,0.153,0.5684,49.8,1.38,0.0506,0.384,2.097,308.3,4.580346161,0.015995,15.71,88.6,889.0,5103.0,4.558,0.04,0.789,0.82,0.226,19.6217039,46.002217,0.04,-0.12,8e-05,-2.5e-05,0.01,0.09,0.09,147.56,3.49602,0
1414,3,294.32553,46.002251,14.404,13.623,13.388,13.26,12.229,11.783,11.673,13.693,596.0,6.2117267,44.245068,0.5616,0.0,0.0,0.153,0.5684,59.7,1.25,0.0315,0.004,2.0361,263.2,2.248288213,0.014461,8.578,89.97,1127.0,5103.0,4.558,0.04,0.789,0.82,0.0,19.6217036,46.002361,0.03,0.4,7.1e-05,-0.000154,-0.02,0.34,0.34,380.75,2.36193,0
1415,3,294.32553,46.002251,14.404,13.623,13.388,13.26,12.229,11.783,11.673,13.693,169.0,4.33808,22.271885,0.4295,0.0,0.0,0.153,0.5684,29.7,1.31,0.0656,0.648,1.7062,249.3,6.76690759,0.015191,23.7,88.43,781.0,5103.0,4.558,0.04,0.789,0.82,0.0,19.6217292,46.00244,0.99,0.7,-0.000175,-0.000234,-0.31,0.08,0.32,87.79,5.49873,0
1416,2,288.3725,47.933559,14.364,13.672,13.463,13.395,12.413,11.976,11.897,13.733,42.0,10.137758,39.367767,0.529,0.0,0.0,0.1828,0.5324,38.9,2.37,0.2027,0.815,4.7679,635.0,34.1732156,0.026045,34.2,88.63,465.0,5201.0,4.573,0.36,0.834,0.948,0.042,19.2248382,47.933671,0.15,0.4,-6e-05,-0.00018,0.09,-0.17,0.19,11.09,0.64599,0
1417,1,289.62524,40.708729,15.789,14.738,14.356,14.131,12.98,12.355,12.215,14.786,80.0,9.909172,36.20435,0.5596,0.0,0.0,0.0853,0.6656,9.9,2.73,0.1107,0.9,2.151,1147.0,16.7364755,0.038278,30.8,88.32,464.0,4334.0,4.618,-0.06,0.653,0.646,0.0,19.308344,40.708893,-0.19,0.59,0.00013,-0.00078,0.04,0.05,0.06,10.99,1.97039,0
1418,1,296.87683,41.080582,16.16,14.791,13.996,13.532,12.29,11.631,11.452,14.645,9.0,11.64278,24.076408,0.7894,0.0,0.0,0.4064,0.2898,28.2,15.9,0.4036,1.265,1.922,2363.0,137.8645881,0.324187,215.0,89.66,170.0,3645.0,4.797,-0.08,0.449,0.46,0.087,19.791796,41.08066,0.29,0.28,0.001,-0.001,0.11,0.13,0.17,0.2,9.8537,2
1419,1,296.54752,44.941929,14.132,13.338,13.08,12.935,11.93,11.46,11.378,13.395,104.0,5.458994,30.03955,0.9597,0.0,0.0,0.1611,0.5575,24.9,1.3,0.0951,0.663,3.176,254.3,12.43929428,0.015366,23.03,88.35,627.0,4987.0,4.531,-0.08,0.773,0.742,0.259,19.7698374,44.941926,0.08,-0.01,5e-06,-6.4e-05,0.09,-0.21,0.23,36.57,1.49391,0
1420,3,286.66296,47.4137,14.729,13.943,13.713,13.58,12.558,12.073,11.974,14.017,176.0,4.9048095,30.694172,0.8618,0.0,0.0,0.1611,0.5575,32.5,1.21,0.0696,0.237,2.4168,296.1,7.62635494,0.0154,23.81,89.43,703.0,4955.0,4.61,-0.1,0.721,0.774,0.0,19.1108685,47.41343,0.17,-0.98,4.6e-05,-0.00042,-0.12,0.2,0.23,57.89,4.39175,0
1422,1,282.85992,42.66576,16.631,15.336,14.699,14.395,13.192,12.518,12.347,15.278,116.0,6.3078914,33.785835,0.9014,0.0,0.0,0.2417,0.505,38.3,1.75,0.0796,0.035,2.2792,1221.0,11.35010642,0.031169,39.21,89.95,403.0,3597.0,4.734,0.4,0.514,0.522,0.27,18.8573388,42.665805,0.38,0.16,-5e-05,-0.00036,0.06,0.0,0.06,6.25,8.85324,0
1423,1,294.08392,42.809589,15.523,14.891,14.686,14.587,13.643,13.273,13.197,14.937,11.0,9.468326,23.831078,0.2558,0.0,0.0,0.2327,0.4526,30.1,3.04,0.4276,0.149,3.792,1269.6,109.4450597,0.032089,225.2,89.96,340.0,5403.0,4.5,0.0,0.868,0.868,0.163,19.605611,42.80947,0.61,-0.45,-0.00083,0.00021,0.07,-0.17,0.18,3.14,18.03324,0
1424,1,283.84515,44.609089,16.494,15.91,15.769,15.672,14.684,14.381,14.283,15.986,170.0,5.073486,29.601961,0.8914,0.0,0.0,0.2868,0.3588,34.6,2.4,0.0761,0.022,3.8573,659.8,7.56052209,0.02342,15.332,89.92,914.0,5895.0,4.503,-0.02,0.94,1.026,0.077,18.923008,44.60922,-0.06,0.47,-7e-05,-0.00037,-0.18,0.18,0.25,164.9,1.19278,0
1425,1,286.11536,37.966999,15.76,15.029,14.803,14.687,13.719,13.252,13.158,15.09,114.0,5.64753,33.63076,0.4175,0.0,0.0,0.1451,0.582,40.1,2.37,0.0965,0.029,3.3091,788.4,12.12401737,0.024936,28.683,89.94,675.0,5094.0,4.469,0.16,0.87,0.813,0.837,19.0743394,37.96678,-0.73,-0.8,0.0001,6e-05,-0.13,0.0,0.13,48.98,3.03686,0
1426,2,295.22879,45.97102,15.107,13.988,13.566,13.359,12.309,11.665,11.551,14.028,138.0,4.95761,25.269794,0.6882,0.0,0.0,0.0672,0.6811,22.3,1.69,0.077,0.946,1.6165,384.6,9.38740646,0.024006,17.44,86.89,575.0,4500.0,4.656,-0.02,0.646,0.71,0.314,19.6819204,45.97086,0.02,-0.57,-5e-05,-0.00013,0.15,0.15,0.21,25.83,1.13914,0
1427,2,295.22879,45.97102,15.107,13.988,13.566,13.359,12.309,11.665,11.551,14.028,175.0,3.1523068,11.42809,0.3409,0.0,0.0,0.0672,0.6811,11.8,0.79,0.0658,0.434,1.973,150.4,7.41556471,0.011162,26.2,89.05,622.0,4500.0,4.656,-0.02,0.646,0.71,0.289,19.681938,45.97066,0.68,-1.3,-0.000105,5e-05,0.55,0.0,0.55,35.37,6.20646,0
1428,3,285.75146,41.33564,16.513,15.494,15.135,14.971,13.875,13.255,13.16,15.549,41.0,4.049672,11.474611,0.3076,0.0,0.0,0.1082,0.627,14.1,1.5,0.1459,0.45,4.046,458.0,24.2101973,0.019502,41.8,89.38,451.0,4650.0,4.589,-0.04,0.706,0.704,0.062,19.050066,41.33577,-1.26,0.47,0.00066,-0.00012,-0.94,0.37,1.01,9.8,2.36186,0
1429,1,290.97934,47.988998,13.651,13.086,12.939,12.877,11.945,11.628,11.538,13.153,30.0,8.416729,33.028297,0.1265,0.0,0.0,0.2329,0.4554,61.5,3.26,0.1685,0.153,15.955,293.4,23.8990075,0.015456,11.503,89.24,823.0,5511.0,3.914,0.1,1.93,1.115,0.282,19.39861,47.988973,-0.43,-0.1,0.000104,-1.9e-05,0.13,-0.42,0.44,108.3,0.05041,0
1430,1,293.19537,49.316502,14.286,13.914,13.845,13.831,12.956,12.701,12.681,13.977,215.0,4.6385717,24.55109,0.6253,0.0,0.0,0.3029,0.3239,29.0,1.59,0.0693,0.838,3.4117,165.0,6.22161107,0.013264,7.98,83.97,1101.0,6277.0,4.417,-0.02,1.097,1.148,0.001,19.546387,49.31669,1.03,0.7,-0.000155,-0.000102,-0.22,-0.19,0.29,348.15,0.24814,0
1431,2,293.05801,45.248821,16.516,15.772,15.495,15.325,14.371,13.97,13.775,15.801,217.0,4.509111,25.766874,0.208,0.0,0.0,0.1959,0.5086,29.0,2.12,0.0615,0.175,2.1094,750.5,6.17998508,0.024584,22.6,89.56,814.0,5149.0,4.551,-0.02,0.791,0.811,0.002,19.537206,45.248602,0.24,-0.78,0.00088,9e-05,-0.26,0.03,0.27,104.06,5.7186,0
1432,1,292.04437,46.329029,14.3,13.862,13.771,13.752,12.852,12.604,12.566,13.93,859.0,4.5790415,37.942986,0.6069,0.0,0.0,0.2638,0.4046,48.7,1.68,0.0269,0.097,2.7803,147.2,1.569066598,0.011031,4.379,88.73,1849.0,5821.0,4.172,0.12,1.395,1.054,0.004,19.4696113,46.328915,-0.52,-0.41,7.8e-05,4.9e-05,-0.07,-0.03,0.08,2763.39,0.64519,0
1434,2,295.8287,43.425491,15.399,14.869,14.708,14.616,13.777,13.462,13.373,14.915,187.0,5.6518683,39.687874,0.8062,0.0,0.0,0.2602,0.4096,48.6,4.67,0.0734,0.956,3.514,836.7,7.03932913,0.034474,6.14,81.05,1060.0,5846.0,4.278,0.14,1.24,1.064,0.002,19.7218984,43.425472,-0.61,-0.07,0.0004,-0.00019,0.04,0.06,0.07,298.33,0.08845,0
1435,1,290.16525,49.923859,13.859,13.189,12.943,12.867,11.845,11.43,11.303,13.218,28.0,11.228867,40.47373,0.6527,0.0,0.0,0.1959,0.5086,44.9,2.12,0.2508,0.764,2.9575,626.7,49.6075771,0.025127,87.7,89.5,402.0,5187.0,4.592,0.0,0.774,0.858,0.042,19.3443671,49.923805,0.6,-0.2,-0.00029,0.00013,-0.12,0.15,0.19,6.17,5.17681,0
1436,1,299.25031,43.410439,14.892,14.233,14.055,13.931,13.016,12.645,12.577,14.306,78.0,8.058721,31.661684,0.0044,0.0,0.0,0.2291,0.4603,23.6,3.08,0.1261,0.688,2.6194,822.1,16.84183355,0.027911,37.5,88.95,699.0,5602.0,4.404,0.1,1.009,0.941,0.0,19.9500379,43.410328,0.65,-0.4,0.0001,0.00071,-0.05,-0.21,0.21,56.43,3.51751,0
