,num_of_objects_around_star,right_ascension,declination,g_band_mag,r_band_mag,i_band_mag,z_band_mag,j_band_mag,h_band_mag,k_band_mag,kepler_band_mag,num_of_transits,max_single_event_stat,max_multi_event_stat,odd_even_depth_stat,limb_dark_co4,limb_dark_co3,limb_dark_co2,limb_dark_co1,transit_signal_to_noise,planet_radius_earth,orbit_semimajor_axis,impact,transit_duration,transit_depth,orbital_period,planet_star_radius_ratio,planet_star_distance_radius,inclination,planet_temp,star_temp,star_surface_gravity,star_metallicity,star_radius,star_mass,flux_weight_offset_sig,centroid_right_ascension,centroid_declination,centroid_right_ascension_offset,centroid_declination_offset,planet_star_right_ascension_offset,planet_star_declination_offset,angular_offset_right_ascension,angular_offset_declination,angular_offset_sky,insolation_flux,star_density,classification
4696,1,289.64343,50.727089,15.139,14.6,14.486,14.405,13.526,13.146,13.124,14.682,12.0,6.942529,18.09785,0.7669,0.0,0.0,0.2329,0.4554,22.7,4.01,0.2836,0.626,5.516,883.1,56.6746666,0.028378,64.1,89.44,522.0,5541.0,4.189,0.14,1.295,0.945,0.284,19.309569,50.72713,0.21,0.13,-0.00013,-0.0005,-0.09,-0.08,0.12,17.59,1.54867,0
4697,1,284.30792,39.70039,16.071,15.393,15.149,14.976,14.019,13.54,13.446,15.426,17.0,79.31293,201.59709,0.8527,0.0,0.0,0.2787,0.3888,110.8,25.91,0.2677,1.194,8.2789,17097.0,63.9005941,0.374251,40.1,88.29,353.0,5204.0,4.63,-0.96,0.634,0.624,0.0,18.9538618,39.700369,0.047,-0.075,0.0019,0.005,0.031,-0.192,0.194,3.68,0.29912,2
4700,1,288.69501,39.883202,15.856,14.985,14.721,14.561,13.492,12.978,12.896,15.061,84.0,5.5415025,11.3997345,0.9931,0.0,0.0,0.1451,0.582,13.0,1.15,0.116,0.494,3.678,197.9,16.2951259,0.012961,29.9,89.05,574.0,4915.0,4.512,0.16,0.812,0.781,0.0,19.246377,39.88365,1.8,1.6,-0.00042,-0.00039,-0.06,0.73,0.73,25.59,1.9121,0
4701,1,291.96497,41.122162,16.484,15.865,15.688,15.527,14.614,14.245,14.188,15.927,65.0,407.30933,2094.087,0.0997,0.0,0.0,0.2711,0.3858,1820.5,24.39,0.1332,0.674,10.9113,69911.3,18.173045009,0.259673,13.5693,87.15,650.0,5799.0,4.548,-0.16,0.86,0.955,0.0,19.46433569,41.1221898,0.1503,0.1072,0.042,0.033,-1.83,-1.04,2.1,42.19,0.14311,2
4714,1,287.8674,50.595581,14.838,14.358,14.229,14.207,13.38,12.948,12.932,14.411,109.0,3.9461906,15.709525,0.7994,0.0,0.0,0.2889,0.3511,18.7,1.67,0.1058,0.026,3.002,295.5,12.27057043,0.015746,31.7,89.95,811.0,6075.0,4.486,-0.12,0.969,1.048,0.187,19.191106,50.5958,-1.83,0.81,-0.00023,-2e-05,1.84,-1.58,2.43,102.25,4.00699,0
4715,1,288.23175,50.567879,15.468,14.987,14.871,14.848,13.994,13.686,13.64,15.05,104.0,4.6357517,13.492519,0.0146,0.0,0.0,0.3022,0.3344,16.4,1.94,0.1176,0.803,6.356,229.8,13.2274753,0.015374,9.91,85.35,867.0,6269.0,4.405,0.21,1.155,1.237,0.089,19.215397,50.56784,-1.81,-0.14,0.00035,7e-05,0.11,-0.84,0.85,133.34,0.10521,0
4722,1,291.50812,45.370159,16.829,15.925,15.634,15.52,14.428,13.916,13.802,15.993,157.0,3.8090513,10.5991125,0.2578,0.0,0.0,0.1451,0.582,11.5,1.4,0.0696,0.1,2.716,333.8,7.28116667,0.016223,20.72,89.72,744.0,5008.0,4.572,0.18,0.788,0.844,0.038,19.433862,45.37064,-0.5,1.7,0.00015,-0.00059,-0.54,0.68,0.87,72.16,3.17541,0
4726,1,294.0827,39.556099,15.503,14.882,14.715,14.609,13.715,13.379,13.245,14.951,247.0,3.292175,10.114161,0.1302,0.0,0.0,0.2291,0.4603,10.7,1.2,0.0518,0.374,2.174,189.2,4.36125889,0.012616,14.44,88.52,1000.0,5520.0,4.544,0.14,0.873,0.972,0.132,19.605482,39.55633,-1.3,0.8,0.00023,-6e-05,-0.41,-0.62,0.74,236.01,2.9952,0
4728,1,294.59283,45.28772,16.033,15.205,14.958,14.823,13.763,13.288,13.152,15.28,1122.0,3.828405,7.2918854,0.4381,0.0,0.0,0.186,0.5256,8.0,0.73,0.0207,0.393,1.785,67.5,1.19087362,0.007501,4.77,85.27,1489.0,5158.0,4.464,0.18,0.888,0.836,0.0,19.638313,45.29051,-45.9,10.0,0.0031,-0.00067,-8.6,3.966,9.47,1165.78,1.45101,3
4736,1,294.55383,45.08139,16.559,15.431,15.043,14.83,13.681,13.059,12.908,15.498,25.0,4.569707,14.125189,0.6686,0.0,0.0,0.0833,0.6584,17.0,1.94,0.2401,0.94,5.125,622.2,54.5091549,0.029482,34.2,88.43,308.0,4406.0,4.67,-0.34,0.603,0.621,0.148,19.63692,45.08148,-0.07,0.33,0.00019,-0.00045,0.19,-0.03,0.2,2.13,0.25447,0
4738,1,290.21667,44.779678,15.121,14.645,14.528,14.504,13.599,13.304,13.202,14.706,90.0,3.5574412,11.448122,0.7954,0.0,0.0,0.3024,0.3288,14.1,1.66,0.1209,0.786,3.605,196.2,14.1959621,0.014102,19.29,87.66,818.0,6214.0,4.442,0.07,1.076,1.169,0.09,19.347817,44.77957,1.5,-0.4,-0.00035,5e-05,-0.1,0.87,0.87,105.7,0.67357,0
4739,1,296.40448,44.367458,16.212,15.547,15.33,15.199,14.237,13.856,13.711,15.595,114.0,3.4559317,13.620056,0.2564,0.0,0.0,0.2434,0.4341,16.2,22.56,0.095,1.205,1.724,577.6,11.52482874,0.23157,13.01,84.68,756.0,5592.0,4.472,-0.16,0.892,0.862,0.001,19.760326,44.36784,1.07,1.37,-0.00039,-0.00099,0.33,-0.31,0.46,77.15,0.31364,2
4740,1,294.06802,43.936871,15.821,15.282,15.096,14.985,13.986,13.606,13.498,15.314,26.0,42.729084,149.6703,0.4097,0.0,0.0,0.2979,0.3238,147.9,428.62,0.2427,4.652,3.8198,6287.9,46.84008579,3.720483,75.4,86.47,552.0,6006.0,4.33,-0.48,1.055,0.867,0.0,19.6045339,43.9368,-0.002,-0.25,0.0047,0.0003,-0.498,-0.091,0.506,22.0,3.7023,2
4752,1,296.66177,43.811432,16.291,15.648,15.451,15.367,14.392,13.994,13.871,15.703,1679.0,3.4521549,8.805404,0.0045,0.0,0.0,0.2676,0.3928,11.1,0.71,0.0163,0.183,2.457,70.4,0.77957913,0.007646,2.48,85.77,1819.0,5699.0,4.553,-0.1,0.853,0.95,0.001,19.777358,43.8133,-3.6,6.7,0.000109,-0.00019,0.2,0.2,0.3,2585.39,0.47355,1
4757,1,292.8699,39.844429,15.521,14.814,14.602,14.481,13.538,13.186,13.133,14.878,1087.0,3.3978274,8.511584,0.0854,0.0,0.0,0.224,0.4695,9.2,0.92,0.0306,0.027,2.633,66.1,1.97515457,0.007324,5.8,89.73,1504.0,5571.0,4.31,0.24,1.145,0.976,0.0,19.524493,39.84274,-6.9,-6.1,0.000248,0.000219,-2.37,-3.38,4.13,1207.0,0.94636,3
4760,2,292.95819,42.854889,16.314,15.688,15.461,15.349,14.386,13.914,13.908,15.717,71.0,2.979324,11.059722,0.7102,0.0,0.0,0.2665,0.398,12.6,1.89,0.1307,0.83,1.78,523.8,19.5489666,0.023621,50.2,89.05,579.0,5549.0,4.6,-0.54,0.732,0.776,0.165,19.530556,42.8549,0.4,0.0,0.00017,0.00052,0.2,-0.37,0.42,26.62,6.2798,0
4762,1,297.79987,40.349281,15.985,15.29,15.048,14.882,13.887,13.428,13.354,15.329,52.0,21.122961,51.554775,0.0214,0.0,0.0,0.2337,0.4535,49.3,3.11,0.1592,0.897,4.661,1660.7,27.6853358,0.04461,24.3,87.89,461.0,5216.0,4.673,-0.68,0.639,0.704,0.0,19.8529848,40.351162,-14.01,6.77,0.02146,-0.01079,-5.369,3.127,6.213,10.67,0.3553,3
4763,1,293.44644,40.409889,15.858,15.272,15.107,15.022,14.069,13.718,13.66,15.332,33.0,4.940361,15.579355,0.8296,0.0,0.0,0.2676,0.3928,9.6,2.24,0.2101,0.261,4.845,651.1,35.6225528,0.023364,55.6,89.73,523.0,5799.0,4.539,-0.1,0.878,0.975,0.408,19.563112,40.40996,0.68,0.25,-0.00036,-0.00015,0.04,0.26,0.26,17.67,2.56109,0
4765,1,293.09384,39.974579,15.007,14.404,14.231,14.122,13.211,12.885,12.736,14.464,398.0,3.0033884,8.86209,0.0732,0.0,0.0,0.2622,0.4035,10.3,0.97,0.0377,0.554,2.553,62.1,2.69487041,0.007445,6.83,85.35,1440.0,5823.0,4.283,0.0,1.187,0.986,0.0,19.539944,39.97533,14.7,2.7,-0.000817,-9.6e-05,6.48,0.79,6.53,1020.03,0.82818,3
4766,1,285.36658,39.280079,15.941,14.93,14.563,14.341,13.233,12.581,12.488,14.976,12.0,6.485462,12.923793,0.7284,0.0,0.0,0.0833,0.6584,13.1,1.3,0.3874,0.248,5.869,502.1,112.303136,0.020068,144.6,89.9,241.0,4401.0,4.677,-0.38,0.595,0.613,0.308,19.024422,39.28016,-0.7,0.3,0.00028,-0.00043,0.2,-0.11,0.19,0.79,4.53694,0
4768,1,298.68402,41.83149,15.478,14.894,14.709,14.585,13.641,13.243,13.128,14.94,27.0,3.840059,10.238926,0.9976,0.0,0.0,0.2865,0.3556,10.3,20.52,0.2472,1.223,2.238,740.6,49.5387264,0.251507,45.1,88.45,436.0,5683.0,4.605,-0.52,0.747,0.835,0.013,19.912251,41.83197,-0.6,1.72,0.0006,-0.00099,-0.09,0.39,0.4,8.52,0.70733,2
4769,1,293.17435,40.950809,14.24,13.715,13.572,13.531,12.599,12.282,12.272,13.773,394.0,3.4366944,7.412496,0.8588,0.0,0.0,0.2889,0.3511,8.2,0.49,0.0442,0.182,3.87,28.4,3.39155966,0.004875,6.64,88.43,1183.0,5896.0,4.516,-0.1,0.914,1.0,0.0,19.544981,40.95182,1.0,3.6,-3.5e-05,-0.000113,-0.56,0.0,0.56,462.47,0.48191,3
4773,1,299.13177,48.06171,16.119,15.353,15.118,14.999,14.046,13.626,13.534,15.418,55.0,4.022959,9.2408285,0.1625,0.0,0.0,0.2193,0.4785,10.0,1.85,0.1344,0.378,3.664,361.1,18.2260472,0.017325,35.9,89.4,648.0,5440.0,4.444,0.36,0.98,0.972,0.0,19.941969,48.05979,-5.4,-6.9,0.00198,0.00266,-4.02,-3.6,5.4,41.67,2.6354,3
4784,1,292.42282,38.266331,13.492,13.02,12.877,12.841,11.983,11.663,11.635,13.062,32.0,5.314401,14.554175,0.1087,0.0,0.0,0.2865,0.3671,18.2,3.19,0.2697,0.403,5.227,160.6,42.9136635,0.011762,58.2,89.6,810.0,6049.0,3.8,0.18,2.483,1.419,0.327,19.494865,38.26614,0.42,-0.69,-9e-05,7e-05,0.57,0.55,0.79,101.56,2.02553,0
4785,1,291.52487,38.455849,15.299,14.635,14.457,14.353,13.447,13.039,12.977,14.71,16.0,9.021142,23.183668,0.182,0.0,0.0,0.2291,0.4603,17.5,2.78,0.3819,0.026,5.033,1138.6,88.1804682,0.030375,137.9,89.99,359.0,5497.0,4.57,0.07,0.839,0.952,0.066,19.434998,38.45573,0.26,-0.42,-2e-05,0.00059,0.29,0.09,0.31,3.94,6.37378,2
4786,1,288.61053,49.968632,16.721,15.827,15.535,15.394,14.365,13.802,13.815,15.891,8.0,5.100828,9.156626,0.4843,0.0,0.0,0.1082,0.627,12.7,2.32,0.5594,0.772,9.298,901.4,177.668663,0.030353,99.5,89.56,233.0,4721.0,4.615,-0.02,0.701,0.74,0.79,19.240679,49.9686,-0.9,-0.1,0.0006,-0.0002,0.08,0.78,0.79,0.7,0.59089,0
4788,1,297.5885,43.841221,15.458,14.978,14.826,14.775,13.942,13.623,13.602,15.015,15.0,4.27339,10.347039,0.8394,0.0,0.0,0.2844,0.3661,12.2,2.22,0.4204,0.273,8.605,296.9,92.263742,0.015844,80.16,89.81,469.0,6084.0,4.287,0.14,1.283,1.167,0.1,19.839248,43.84155,0.5,1.2,-0.00016,-0.00041,0.76,0.13,0.77,11.42,1.14445,0
4789,1,294.78433,49.4921,16.232,15.673,15.506,15.444,14.488,14.247,14.235,15.724,197.0,3.3630998,11.341888,0.9733,0.0,0.0,0.2844,0.3661,12.4,1.72,0.0717,0.235,1.961,289.3,6.64754478,0.015634,25.6,89.47,999.0,6046.0,4.478,0.07,1.007,1.111,0.01,19.652307,49.49163,0.7,-1.69,-0.00025,0.00044,-0.41,-0.03,0.41,235.89,7.17422,0
4801,1,298.82587,46.956669,15.619,14.772,14.494,14.298,13.206,12.693,12.606,14.832,125.0,2.9424045,8.748134,0.6107,0.0,0.0,0.1731,0.5396,9.6,0.8,0.0724,0.098,3.463,137.0,8.5900471,0.010404,19.06,89.71,677.0,4914.0,4.575,-0.3,0.707,0.684,0.289,19.921684,46.95694,-1.5,1.0,0.00019,-7e-05,0.7,-0.02,0.7,49.76,1.77645,4
4802,1,292.20465,40.48563,12.525,12.061,11.942,11.915,11.065,10.799,10.737,12.117,4.0,4.7354574,7.494789,0.1324,0.0,0.0,0.305,0.3201,11.1,1.7,1.0224,0.636,9.12,152.5,357.82544,0.011865,236.0,89.85,306.0,6131.0,4.248,0.04,1.312,1.109,0.178,19.480346,40.48567,1.5,0.2,-0.00022,1e-05,0.26,-3.82,3.83,2.08,1.94093,1
4803,1,291.43143,38.654388,16.252,15.695,15.556,15.473,14.53,14.186,14.212,15.765,38.0,4.241444,13.308066,0.6208,0.0,0.0,0.2868,0.3588,13.9,2.42,0.1954,0.023,4.214,641.3,30.8278245,0.023114,57.2,89.98,585.0,5982.0,4.493,-0.04,0.96,1.047,0.483,19.428754,38.65485,-0.33,1.65,0.00031,0.00025,-0.31,-2.78,2.79,27.66,3.71889,0
4804,1,286.12555,47.947609,16.049,15.502,15.365,15.298,14.387,14.034,13.999,15.57,25.0,4.3248744,10.610574,0.2932,0.0,0.0,0.2844,0.3661,13.6,2.58,0.262,0.028,4.003,723.2,47.1607932,0.02451,92.167,89.98,503.0,5936.0,4.501,0.07,0.965,1.075,0.627,19.075032,47.94754,-0.16,-0.24,0.00034,0.00025,0.13,-0.21,0.24,15.07,6.65919,0
4805,1,294.08307,50.502769,17.222,15.909,15.268,14.929,13.772,13.085,12.922,15.855,26.0,5.183427,14.733009,0.6594,0.0,0.0,0.2589,0.4639,17.8,1.75,0.2126,0.022,3.787,1132.9,49.2768448,0.030272,102.4,89.99,271.0,3899.0,4.713,-0.2,0.529,0.528,0.023,19.60549,50.50295,-1.62,0.63,0.00195,-0.0005,-0.12,-0.06,0.14,1.28,8.36473,0
4806,1,281.64581,41.951092,15.987,14.61,13.815,13.393,12.13,11.449,11.199,14.467,38.0,3.8971653,11.920323,0.612,0.0,0.0,0.2107,0.5308,14.5,0.97,0.1729,0.139,3.674,352.8,35.2330694,0.016941,73.8,89.89,288.0,3749.0,4.743,0.16,0.524,0.554,0.002,18.776325,41.9507,-2.47,-1.39,0.00058,0.00043,-0.28,-0.03,0.28,1.62,6.12686,0
4808,1,290.70056,39.799679,16.465,15.616,15.279,15.045,13.975,13.353,13.291,15.635,3.0,5.0052147,7.3217716,0.714,0.0,0.0,0.2346,0.4467,14.8,39.59,1.1612,0.016,4.495,2127.0,508.807642,0.041147,900.1,90.0,595.0,4893.0,2.454,-0.86,8.811,0.805,0.017,19.380031,39.79941,-0.27,-0.98,0.0004,0.002,-0.04,-0.02,0.05,29.54,53.29129,1
4817,1,296.28137,39.874969,15.852,15.224,15.026,14.966,13.957,13.546,13.488,15.274,830.0,3.2803953,9.872231,0.6784,0.0,0.0,0.2676,0.3928,11.1,0.78,0.0227,0.044,3.741,86.5,1.29019586,0.008445,2.719,89.08,1530.0,5693.0,4.558,-0.14,0.842,0.938,0.0,19.752348,39.87369,10.6,-4.6,-0.000827,0.000315,6.74,-1.69,6.95,1293.44,0.22851,3
4824,1,286.94531,43.822769,16.676,15.432,14.944,14.652,13.486,12.862,12.681,15.464,67.0,4.3406734,9.948514,0.2531,0.0,0.0,0.1171,0.6215,11.3,1.41,0.1132,0.945,3.844,310.8,18.1373788,0.021423,13.97,86.12,433.0,4257.0,4.648,-0.3,0.602,0.589,0.282,19.129707,43.82287,0.72,0.37,-0.0002,-0.00024,-0.6,0.14,0.61,8.31,0.1568,0
4825,1,283.7706,42.027241,14.481,14.0,13.88,13.832,12.944,12.608,12.542,14.06,19.0,6.354747,19.658266,0.4541,0.0,0.0,0.2965,0.3342,21.9,1.6,0.2668,0.029,7.712,330.0,51.1104797,0.016631,51.45,89.97,478.0,5968.0,4.534,-0.26,0.881,0.97,0.417,18.918027,42.0273,-0.54,0.21,0.00015,-9e-05,-0.02,-0.36,0.36,12.38,0.98634,0
4826,1,283.21161,41.038059,14.728,14.123,13.959,13.871,12.936,12.57,12.509,14.19,22.0,7.2797685,24.939644,0.5438,0.0,0.0,0.2676,0.3928,25.7,3.35,0.2495,0.873,5.342,859.3,47.9869119,0.031301,37.7,88.67,493.0,5641.0,4.408,-0.06,0.981,0.899,0.394,18.8807778,41.03798,0.16,-0.3,-0.00021,0.00016,-0.31,-0.15,0.34,14.01,0.44083,0
4834,1,285.80185,45.216831,16.541,15.886,15.694,15.653,14.698,14.174,14.102,15.948,36.0,3.3066218,7.907231,0.4833,0.0,0.0,0.2291,0.4603,7.9,1.71,0.2162,0.612,4.112,366.5,37.1083458,0.018237,56.1,89.38,492.0,5591.0,4.559,0.07,0.86,0.977,0.178,19.05339,45.21707,-2.6,0.9,0.00105,-0.00014,-0.2,0.5,0.5,13.84,2.42955,1
4856,1,300.01501,40.52702,12.015,11.969,12.037,12.015,11.359,11.318,11.286,11.98,100.0,5.4337597,24.316656,0.9927,0.0,0.0,0.2923,0.2415,225.1,90.09,0.1531,1.204,46.356,347.3,14.15849823,0.220225,1.306,22.81,1910.0,8753.0,3.668,0.07,3.746,2.385,0.68,20.0010041,40.526898,0.17,-0.44,-1.1e-05,1.9e-05,-0.38,0.36,0.53,3145.0,0.00021,2
4858,1,297.63947,47.445869,14.223,13.41,13.126,12.966,11.91,11.393,11.312,13.455,88.0,3.5731244,7.3230476,0.4748,0.0,0.0,0.2129,0.4858,85.7,81.01,0.1189,1.185,90.01,390.9,12.3748247,0.206179,1.212,12.23,1253.0,5165.0,3.491,-0.12,3.598,1.462,0.0,19.842665,47.44603,1.23,0.56,-0.000124,-6.7e-05,0.57,0.77,0.95,583.24,0.00022,1
4862,1,292.17099,41.621288,17.263,16.666,16.472,16.313,15.321,14.984,14.592,16.709,0.0,294.78268,1541.0045,-1.0,0.0,0.0,0.2916,0.3447,768.9,2722.92,0.1154,22.28,9.1151,143645.0,14.541781166,21.720514,58.7,67.71,834.0,5997.0,4.304,-0.2,1.148,0.968,0.0,19.478019943,41.62060245,-1.8875,-2.4752,-0.039,-0.056,5.129,5.594,7.589,114.56,18.12216,1
4864,2,293.15085,41.729252,14.167,13.795,13.681,13.644,12.807,12.54,12.483,13.827,63.0,3.5833857,8.747018,0.3214,0.0,0.0,0.3041,0.2913,8.5,0.79,0.1462,0.777,3.69,71.7,21.1876185,0.008483,28.2,88.42,676.0,6355.0,4.547,-0.8,0.849,0.925,0.0,19.543434,41.72999,1.8,2.7,-0.000121,-0.00019,-1.05,0.7,1.26,49.23,0.94594,0
4868,1,294.76862,46.37421,17.057,16.274,16.002,15.862,14.873,14.369,14.347,16.319,214.0,647.5465,5347.0596,-1.0,0.0,0.0,0.2286,0.4641,608.9,109.72,0.0368,0.558,3.21373,348777.0,2.544594443,0.62174,9.269,86.55,1608.0,5503.0,4.033,0.18,1.616,1.026,0.0,19.65124318,46.37418253,0.0924,-0.0989,0.06,0.1,-0.002,0.003,0.003,1582.68,2.32644,2
4869,1,298.52206,48.032921,16.438,15.647,15.356,15.18,14.091,13.562,13.391,15.681,16.0,479.42657,1391.742,0.0,0.0,0.0,0.1908,0.5172,1597.3,21.93,0.2472,0.625,18.4332,102294.0,56.40651043,0.310418,26.937,88.67,358.0,5011.0,4.617,-0.68,0.647,0.632,0.0,19.90147708,48.0329392,0.2557,0.0691,0.008,-0.067,0.049,0.097,0.108,3.87,0.11621,2
4870,1,292.92532,38.480991,17.289,16.193,15.733,15.451,14.249,13.601,13.509,16.2,157.0,440.54572,2976.9692,-1.0,0.0,0.0,0.0628,0.6908,879.2,61.54,0.0695,1.121,4.4761,190903.0,7.964400574,0.788182,18.98,86.61,633.0,4478.0,4.578,0.16,0.715,0.706,0.0,19.528357465,38.48087,0.0915,-0.432,0.003,0.009,-0.01,0.018,0.02,38.09,2.04037,2
4872,2,295.8093,40.008511,16.143,15.594,15.473,15.426,14.463,14.194,14.187,15.674,30.0,4.316747,11.898367,0.2235,0.0,0.0,0.3024,0.3288,15.4,2.39,0.2199,0.026,7.343,500.0,34.9168399,0.020479,37.1,89.96,602.0,6194.0,4.445,0.07,1.069,1.161,0.005,19.720616,40.00901,-0.1,1.8,3e-05,-0.00081,-0.4,-0.27,0.48,31.13,0.78993,0
4876,1,291.99976,49.301811,15.239,14.444,14.217,14.102,13.08,12.64,12.584,14.523,56.0,4.907759,17.11139,0.2284,0.0,0.0,0.1875,0.5277,12.6,3.94,0.1525,0.956,4.472,418.2,22.1270885,0.024942,14.06,86.1,721.0,5312.0,4.103,0.34,1.445,0.963,0.019,19.466668,49.30167,0.61,-0.5,-0.0004,-0.00017,0.29,0.49,0.57,63.98,0.10732,0
4877,1,296.9025,47.628281,15.86,15.192,14.982,14.88,13.927,13.47,13.419,15.246,100.0,3.6930552,8.515262,0.3641,0.0,0.0,0.2396,0.4415,9.4,1.12,0.0912,0.271,2.307,201.0,10.6784787,0.012911,34.5,89.55,712.0,5459.0,4.583,-0.12,0.797,0.893,0.0,19.794292,47.61687,28.8,-41.1,-0.00574,0.00825,4.32,-4.35,6.13,60.7,6.82436,3
4880,1,293.45609,41.045849,16.402,15.777,15.586,15.482,14.556,14.1,14.156,15.831,27.0,663.7715,2233.0818,0.4596,0.0,0.0,0.2676,0.3928,950.0,51.86,0.2354,0.775,3.36626,207990.0,42.559265547,0.550314,129.69,89.66,487.0,5764.0,4.548,-0.12,0.863,0.959,0.0,19.563740812,41.04662154,0.0616,2.7776,0.06,0.33,-0.302,-6.982,6.988,13.28,22.78046,2
4882,1,289.00632,39.093342,15.681,15.207,15.078,14.924,13.953,13.242,13.149,15.259,44.0,4.5931463,11.282671,0.1228,0.0,0.0,0.2787,0.3728,13.6,1.58,0.1552,0.207,4.359,322.2,24.2157996,0.016361,42.24,89.72,596.0,5659.0,4.473,-0.26,0.885,0.849,0.0,19.267045,39.09383,-1.85,1.76,0.00039,-0.00044,-2.31,1.14,2.57,29.84,2.43047,3
4883,1,283.98633,41.65041,14.241,13.452,13.195,13.062,12.016,11.551,11.455,13.509,26.0,5.3454885,11.951437,0.4597,0.0,0.0,0.1646,0.5508,18.6,1.14,0.2196,0.348,4.949,235.6,44.2018402,0.013886,65.0,89.69,409.0,5002.0,4.543,-0.18,0.753,0.723,0.89,18.932428,41.65046,0.26,0.18,-5e-05,2e-05,-1.2,-0.46,1.24,6.59,2.65465,0
4885,2,288.88333,39.74456,15.056,14.577,14.414,14.333,13.476,13.149,13.03,14.606,92.0,4.243955,12.399577,0.7539,0.0,0.0,0.2638,0.4046,14.9,2.18,0.1236,0.896,6.326,132.2,15.0330623,0.012497,8.6,84.02,928.0,5849.0,4.076,0.14,1.601,1.114,0.148,19.258868,39.74482,-0.8,0.9,0.00014,-9e-05,0.17,-0.26,0.31,175.74,0.05326,0
4887,1,301.14603,44.869659,13.214,12.906,12.812,12.798,11.978,11.816,11.712,12.933,108.0,118.87764,464.89328,0.7362,0.0,0.0,0.3264,0.253,32.5,87.2,0.1151,1.151,3.163,39413.0,12.62530918,0.433038,26.1,87.47,1214.0,6878.0,4.012,-0.38,1.844,1.278,0.0,20.07641589,44.8696546,0.5048,-0.0196,-0.002,0.0,0.016,0.007,0.017,514.08,2.10135,2
4888,1,294.15952,45.375919,12.76,12.273,12.158,12.111,11.193,10.908,10.87,12.338,12.0,6041.868,7997.279,0.55,0.0,0.0,0.2889,0.3511,332.8,49.34,0.4842,0.542,7.5608,240899.0,124.93576738,0.480155,173.86,89.82,362.0,5887.0,4.477,-0.14,0.941,0.97,0.0,19.610638382,45.37591522,0.13967,-0.01722,-0.03,-0.14,0.014,0.034,0.037,4.06,6.3692,2
4889,3,286.63553,39.488621,14.025,13.172,12.932,12.813,11.728,11.259,11.14,13.26,108.0,5.4295993,18.159763,0.8685,0.0,0.0,0.153,0.5684,12.7,1.37,0.0982,0.805,2.4599,283.6,12.720298433,0.017319,24.590873,88.12,589.0,4914.0,4.61,-0.04,0.724,0.783,0.0,19.1091176,39.487083,3.45,-5.53,0.000281,0.000972,-1.11,0.06,1.11,28.37,1.73854,4
4891,1,291.17059,38.765209,8.308,8.366,8.544,8.615,7.978,7.937,7.943,8.351,13.0,22982.162,44243.574,0.6265,0.0,0.0,0.2814,0.2813,5357.7,193.91,0.6043,0.527,32.1928,299046.0,119.67980316,0.546213,41.3001,89.27,847.0,8275.0,3.726,-0.08,3.251,2.053,0.0,19.411352978,38.76547293,-0.8009,0.94654,0.06,-0.09,-0.4,2.1,2.1,121.45,0.09304,2
4894,1,291.0188,38.569859,12.407,12.068,11.986,11.985,11.16,10.949,10.899,12.112,13.0,439.77222,940.81506,0.3982,0.0,0.0,0.3105,0.2893,2426.9,45.43,0.5065,0.433,12.7591,45362.0,117.6813778,0.20011,78.855,89.69,575.0,6429.0,3.899,-0.26,2.079,1.25,0.001,19.401253255,38.56977771,-0.0314,-0.2963,0.0001,0.0,0.001,0.001,0.001,25.76,0.66977,2
4895,1,296.7345,39.186111,16.081,15.52,15.331,15.216,14.359,13.922,13.893,15.556,25.0,526.658,2126.426,0.0533,0.0,0.0,0.2965,0.3342,922.1,35.18,0.1317,0.381,4.1376,147144.0,17.72722648,0.359916,42.739,89.49,692.0,6021.0,4.52,-0.3,0.895,0.967,0.0,19.782319032,39.1863445,0.7966,0.8442,0.052,0.236,-1.47,-4.16,4.41,54.32,4.69937,2
4897,1,296.22293,47.92392,15.722,14.907,14.714,14.721,13.798,13.453,13.51,15.017,9.0,562.56085,1430.8284,0.0,0.0,0.0,0.2868,0.3588,1331.0,26.0,0.4223,0.436,9.7436,53781.9,100.40132734,0.216421,89.405,89.72,420.0,5903.0,4.353,-0.04,1.1,0.995,0.0,19.74818976,47.9238967,-0.2257,-0.084,0.012,-0.002,-0.022,0.029,0.036,7.37,1.34109,2
4898,1,293.26328,45.349419,17.308,16.774,16.519,16.434,15.566,15.143,15.189,16.756,55.0,418.75668,2326.2273,0.0118,0.0,0.0,0.3029,0.3026,1539.9,59.23,0.0963,0.526,4.82219,243413.0,11.320287875,0.481306,24.8496,88.79,928.0,6153.0,4.302,-0.44,1.127,0.928,0.0,19.55091435,45.34963298,1.0759,0.7667,0.27,0.23,-2.41,-2.37,3.38,175.69,2.26518,2
4901,2,289.43896,49.73122,15.593,14.698,14.43,14.316,13.181,12.696,12.603,14.779,228.0,3.046468,14.317958,0.8668,0.0,0.0,0.1451,0.582,7.5,1.23,0.059,0.097,2.169,250.0,5.94228603,0.014007,21.13,89.74,797.0,4891.0,4.516,0.16,0.805,0.776,0.047,19.295926,49.73144,-0.16,0.8,8e-05,-0.00023,0.06,0.29,0.3,95.34,5.05497,0
